                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                   0.73,                0.54259,                0.93804,                0.86087,                0.89909,                0.88668,                 0.7813,                 0.7292,                0.51326,                0.94785,              0.0090397,              0.0090397,              0.0090397
                    100,                0.71931,                0.59067,                0.93663,                0.81485,                 0.8622,                0.84622,                0.73905,                0.72236,                0.62325,                0.92737,              0.0090298,              0.0090298,              0.0090298
                    101,                0.76199,                0.54328,                0.95633,                0.82224,                0.90393,                0.85404,                0.75147,                0.73174,                0.60027,                0.95697,              0.0090199,              0.0090199,              0.0090199
                    102,                0.73745,                0.51812,                0.95401,                0.80756,                0.83038,                0.85192,                0.72941,                0.78577,                0.72277,                0.98879,                0.00901,                0.00901,                0.00901
                    103,                0.75862,                0.55077,                0.96815,                0.87153,                0.87159,                0.86288,                0.76631,                0.73191,                 0.5762,                0.93383,              0.0090001,              0.0090001,              0.0090001
                    104,                0.74359,                0.51977,                0.95859,                0.82224,                0.91414,                 0.8742,                0.75408,                0.74996,                0.58637,                0.95738,              0.0089902,              0.0089902,              0.0089902
                    105,                0.73054,                 0.5316,                0.94051,                0.81673,                0.76143,                0.79848,                0.68544,                0.76635,                 1.0455,                0.96397,              0.0089803,              0.0089803,              0.0089803
                    106,                0.75372,                 0.5432,                0.96723,                0.80876,                0.86002,                0.82163,                0.71516,                0.73932,                0.70365,                0.96386,              0.0089704,              0.0089704,              0.0089704
                    107,                0.74166,                0.50467,                0.96671,                0.87466,                0.91834,                0.92863,                0.82232,                0.71722,                0.51258,                0.94809,              0.0089605,              0.0089605,              0.0089605
                    108,                0.74281,                0.50793,                0.96887,                0.90315,                0.90232,                0.91615,                0.80411,                 0.7207,                0.50554,                0.94813,              0.0089506,              0.0089506,              0.0089506
                    109,                0.73225,                0.51889,                0.95143,                0.80192,                 0.8703,                0.83651,                0.72838,                0.77308,                0.63317,                0.95473,              0.0089407,              0.0089407,              0.0089407
                    110,                0.74193,                0.51404,                0.94805,                0.89059,                0.86514,                0.86963,                0.77364,                0.72948,                0.53632,                0.95137,              0.0089308,              0.0089308,              0.0089308
                    111,                  0.763,                0.53443,                0.96921,                0.82785,                0.91284,                0.88822,                0.78702,                0.71842,                0.55858,                0.95113,              0.0089209,              0.0089209,              0.0089209
                    112,                0.72018,                0.49211,                0.93787,                  0.838,                0.83796,                0.87255,                 0.7484,                0.83142,                0.67694,                 1.0034,               0.008911,               0.008911,               0.008911
                    113,                0.73563,                0.50264,                0.95889,                0.81746,                0.88169,                0.87541,                0.77029,                0.73218,                0.63388,                 0.9509,              0.0089011,              0.0089011,              0.0089011
                    114,                 0.7381,                0.49991,                0.96058,                0.66639,                0.63553,                0.63198,                0.51134,                0.93205,                 2.3826,                 1.0889,              0.0088912,              0.0088912,              0.0088912
                    115,                0.75742,                0.53067,                0.96232,                0.81575,                0.93536,                 0.8927,                0.78575,                0.72517,                0.56389,                0.94901,              0.0088813,              0.0088813,              0.0088813
                    116,                0.70355,                0.53599,                0.93239,                0.66077,                0.04042,                0.05374,                0.02205,                   3.69,                  6.447,                 3.6205,              0.0088714,              0.0088714,              0.0088714
                    117,                0.72444,                0.49211,                0.95827,                0.74605,                0.80523,                0.81621,                0.69598,                0.80811,                 0.9145,                 1.0153,              0.0088615,              0.0088615,              0.0088615
